"country","year","mimic","vat_gap","self_employed","admin_capacity","gig_economy","gdp_growth","digital_payments","country_id","divergence_gap","absolute_diff","mimic_vat_ratio","nvt_share_raw","time_trend","covid_dummy","country_group"
"France",2021,12.43,8.5,10.8,81.8,12.8,6.8,82,10,0.376363565648515,3.93,1.4453488372093,31.6170555108608,6,1,"Low Divergence"
"France",2022,12.12,7.6,10.7,82,13.3,2.5,85,10,0.461853624883811,4.52,1.57402597402597,37.2937293729373,7,1,"Low Divergence"
"Germany",2015,12.2,11.2,9.8,91,8.9,1.5,55,11,0.0847965366600767,1,1.07964601769912,8.19672131147541,0,0,"Low Divergence"
"Germany",2016,11.7,10.6,9.7,91.2,9.4,2.2,58,11,0.0978557900037589,1.1,1.09345794392523,9.4017094017094,1,0,"Low Divergence"
"Germany",2017,11.3,9.9,9.6,91.4,9.9,2.7,61,11,0.131028262406404,1.4,1.13,12.3893805309735,2,0,"Low Divergence"
"Germany",2018,10.87,9.3,9.5,91.6,10.4,1.1,64,11,0.15445458501118,1.57,1.1563829787234,14.4434222631095,3,0,"Low Divergence"
"Germany",2019,10.34,8.7,9.4,91.8,10.9,1.1,67,11,0.170892860970332,1.64,1.175,15.8607350096712,4,0,"Low Divergence"
"Germany",2020,11.23,7.2,9.3,92,11.4,-3.7,70,11,0.43957972688557,4.03,1.53835616438356,35.8860195903829,5,1,"Low Divergence"
"Germany",2021,10.98,6.3,9.2,92.2,11.9,3.2,73,11,0.548843690953512,4.68,1.715625,42.6229508196721,6,1,"Low Divergence"
"Germany",2022,10.65,5.6,9.1,92.4,12.4,1.8,76,11,0.634439579733167,5.05,1.86842105263158,47.4178403755869,7,1,"Low Divergence"
"Greece",2015,21.5,28.3,29.4,54,8.3,-0.4,42,12,-0.273695830477041,-6.8,0.757042253521127,0,0,0,"High Divergence"
"Greece",2016,20.9,27.1,29.1,54.5,8.8,-0.2,45,12,-0.258694535578529,-6.2,0.768382352941176,0,1,0,"High Divergence"
"Greece",2017,20.3,25.8,28.8,55,9.3,1.4,48,12,-0.238708067855322,-5.5,0.783783783783784,0,2,0,"High Divergence"
"Greece",2018,21.43,24.5,28.5,55.5,9.8,1.9,51,12,-0.133299131562045,-3.07,0.871138211382114,0,3,0,"High Divergence"
"Greece",2019,20.76,23.1,28.2,56,10.3,1.9,54,12,-0.106318829099638,-2.34,0.894827586206897,0,4,0,"High Divergence"
"Greece",2020,23.12,19.8,27.9,56.5,10.8,-9,57,12,0.154294244539299,3.32,1.16180904522613,14.3598615916955,5,1,"High Divergence"
"Greece",2021,22.67,17.2,27.6,57,11.3,8.4,60,12,0.274737378571915,5.47,1.31040462427746,24.1288045875607,6,1,"High Divergence"
"Greece",2022,23.21,14.9,27.3,57.5,11.8,5.9,63,12,0.440832251945456,8.31,1.54733333333333,35.8035329599311,7,1,"High Divergence"
"Hungary",2015,22.5,14.5,10.2,64,5.5,3.8,50,13,0.436928377563949,8,1.54109589041096,35.5555555555556,0,0,"Medium Divergence"
"Hungary",2016,22.1,13.8,10,63.5,6,2.1,53,13,0.468203448741588,8.3,1.58992805755396,37.5565610859729,1,0,"Medium Divergence"
"Hungary",2017,21.6,13.1,9.8,63,6.5,5.4,56,13,0.497095430954089,8.5,1.63636363636364,39.3518518518519,2,0,"Medium Divergence"
"Hungary",2018,20.98,12.4,9.6,62.5,7,5.4,59,13,0.522596079364906,8.58,1.6784,40.8960915157293,3,0,"Medium Divergence"
"Hungary",2019,20.43,11.6,9.4,62,7.5,4.6,62,13,0.562298389227132,8.83,1.74615384615385,43.220753793441,4,0,"Medium Divergence"
"Hungary",2020,21.87,9.2,9.2,61.5,8,-4.5,65,13,0.859663486237309,12.67,2.35161290322581,57.9332418838592,5,1,"Medium Divergence"
"Hungary",2021,21.45,7.8,9,61,8.5,7.1,68,13,1.00351305707678,13.65,2.71518987341772,63.6363636363636,6,1,"Medium Divergence"
"Hungary",2022,20.98,6.5,8.8,60.5,9,4.6,71,13,1.16125507464078,14.48,3.17878787878788,69.0181124880839,7,1,"Medium Divergence"
"Ireland",2015,11.8,11.8,15.6,88,8.6,25.2,76,14,0,0,0.991596638655462,0,0,0,"Other"
"Ireland",2016,11.3,11.2,15.4,88.3,9.1,2,79,14,0.00881062968215485,0.100000000000001,1,0.884955752212402,1,0,"Other"
"Ireland",2017,10.9,10.6,15.2,88.6,9.6,9.1,82,14,0.0276515313305103,0.300000000000001,1.01869158878505,2.75229357798166,2,0,"Other"
"Ireland",2018,10.45,9.9,15,88.9,10.1,8.5,85,14,0.0535407669280294,0.549999999999999,1.045,5.26315789473683,3,0,"Other"
"Ireland",2019,9.87,9.3,14.8,89.2,10.6,5.6,88,14,0.0588708946977885,0.569999999999999,1.05,5.77507598784193,4,0,"Other"
"Ireland",2020,10.67,7.8,14.6,89.5,11.1,6.2,91,14,0.309901731695322,2.87,1.35063291139241,26.8978444236176,5,1,"Other"
"Ireland",2021,10.34,6.7,14.4,89.8,11.6,13.5,94,14,0.428721970272432,3.64,1.52058823529412,35.2030947775629,6,1,"Other"
"Ireland",2022,10.12,5.9,14.2,90,12.1,12.2,97,14,0.532587115547503,4.22,1.68666666666667,41.699604743083,7,1,"Other"
"Italy",2015,20.6,25.9,22.3,62,9.2,0.8,46,15,-0.227962837750159,-5.3,0.792307692307692,0,0,0,"Medium Divergence"
"Italy",2016,20.1,24.7,22.1,62.5,9.7,1.3,49,15,-0.205161048763777,-4.6,0.810483870967742,0,1,0,"Medium Divergence"
"Italy",2017,19.8,23.5,21.9,63,10.2,1.7,52,15,-0.170526980301118,-3.7,0.838983050847458,0,2,0,"Medium Divergence"
"Italy",2018,19.23,22.3,21.7,63.5,10.7,0.9,55,15,-0.147402665640755,-3.07,0.858482142857143,0,3,0,"Medium Divergence"
"Italy",2019,18.76,21.1,21.5,64,11.2,0.5,58,15,-0.116957904472655,-2.34,0.884905660377358,0,4,0,"Medium Divergence"
"Italy",2020,20.12,18.2,21.3,64.5,11.7,-9,61,15,0.0997711537449502,1.92,1.09945355191257,9.5427435387674,5,1,"Medium Divergence"
"Italy",2021,19.87,15.9,21.1,65,12.2,7,64,15,0.221642425187943,3.97,1.241875,19.9798691494716,6,1,"Medium Divergence"
"Italy",2022,19.54,13.8,20.9,65.5,12.7,3.7,67,15,0.345679462789674,5.74,1.40575539568345,29.3756397134084,7,1,"Medium Divergence"
"Latvia",2015,23.6,17.3,9.5,70,5.1,3,68,16,0.309004841920602,6.3,1.35632183908046,26.6949152542373,0,0,"Other"
"Latvia",2016,23.1,16.5,9.3,70.5,5.6,2.4,71,16,0.334749583309767,6.6,1.39156626506024,28.5714285714286,1,0,"Other"
"Latvia",2017,22.5,15.7,9.1,71,6.1,3.3,74,16,0.357939966245319,6.8,1.42405063291139,30.2222222222222,2,0,"Other"
"Latvia",2018,21.87,14.9,8.9,71.5,6.6,3.2,77,16,0.381627685294309,6.97,1.458,31.870141746685,3,0,"Other"
"Latvia",2019,21.23,14,8.7,72,7.1,2,80,16,0.413939735099137,7.23,1.50567375886525,34.0555817239755,4,0,"Other"
"Latvia",2020,22.56,11.3,8.5,72.5,7.6,-2.2,83,16,0.68698790019941,11.26,1.97894736842105,49.9113475177305,5,1,"Other"
"Latvia",2021,22.12,9.5,8.3,73,8.1,4.5,86,16,0.839229685737693,12.62,2.30416666666667,57.0524412296564,6,1,"Other"
"Latvia",2022,21.67,7.9,8.1,73.5,8.6,3,89,16,1.00109133356662,13.77,2.70875,63.5440701430549,7,1,"Other"
"Lithuania",2015,25.8,21.4,10.7,72,4.9,2,62,17,0.186190033571875,4.4,1.2,17.0542635658915,0,0,"Other"
"Lithuania",2016,25.3,20.4,10.5,72.5,5.4,2.6,65,17,0.214324287880129,4.9,1.23414634146341,19.3675889328063,1,0,"Other"
"Lithuania",2017,24.7,19.4,10.3,73,5.9,4.3,68,17,0.240429187601236,5.3,1.26666666666667,21.4574898785425,2,0,"Other"
"Lithuania",2018,23.98,18.3,10.1,73.5,6.4,4,71,17,0.26903095582568,5.68,1.30326086956522,23.6864053377815,3,0,"Other"
"Lithuania",2019,23.34,17.2,9.9,74,6.9,4.3,74,17,0.303737463205079,6.14,1.34913294797688,26.3067694944302,4,0,"Other"
"Lithuania",2020,24.87,13.9,9.7,74.5,7.4,0,77,17,0.578617774676423,10.97,1.77642857142857,44.1093687173301,5,1,"Other"
"Lithuania",2021,24.45,11.8,9.5,75,7.9,6,80,17,0.724173454123046,12.65,2.0546218487395,51.7382413087935,6,1,"Other"
"Lithuania",2022,23.98,9.9,9.3,75.5,8.4,1.9,83,17,0.878796527446574,14.08,2.398,58.7155963302752,7,1,"Other"
"Luxembourg",2015,9.4,8.9,7.8,92,7.3,4.3,74,18,0.0540672212702757,0.5,1.04444444444444,5.31914893617021,0,0,"Other"
"Luxembourg",2016,9.1,8.4,7.7,92.2,7.8,4.6,77,18,0.0791373205587238,0.699999999999999,1.07058823529412,7.69230769230768,1,0,"Other"
"Luxembourg",2017,8.7,7.9,7.6,92.4,8.3,1.8,80,18,0.0953101798043248,0.799999999999999,1.0875,9.19540229885056,2,0,"Other"
"Luxembourg",2018,8.34,7.4,7.5,92.6,8.8,3.1,83,18,0.118079288065601,0.94,1.112,11.2709832134293,3,0,"Other"
"Luxembourg",2019,7.98,6.9,7.4,92.8,9.3,2.3,86,18,0.143481723477691,1.08,1.14,13.5338345864662,4,0,"Other"
"Luxembourg",2020,8.67,5.8,7.3,93,9.8,-0.8,89,18,0.396384455472418,2.87,1.46949152542373,33.1026528258362,5,1,"Other"
"Luxembourg",2021,8.45,5.1,7.2,93.2,10.3,6.9,92,18,0.497272657361287,3.35,1.625,39.6449704142012,6,1,"Other"
"Luxembourg",2022,8.23,4.6,7.1,93.4,10.8,1.4,95,18,0.572300947462739,3.63,1.75106382978723,44.1069258809235,7,1,"Other"
"Malta",2015,23.8,35.2,11.9,76,6.1,9.9,60,19,-0.390004505001786,-11.4,0.674220963172804,0,0,0,"Other"
"Malta",2016,23.2,33.8,11.7,76.5,6.6,5.6,63,19,-0.37496165381475,-10.6,0.684365781710914,0,1,0,"Other"
"Malta",2017,22.7,32.3,11.5,77,7.1,6.7,66,19,-0.351397886837888,-9.6,0.700617283950617,0,2,0,"Other"
"Malta",2018,22.13,30.7,11.3,77.5,7.6,5.5,69,19,-0.326071962003424,-8.57,0.718506493506493,0,3,0,"Other"
"Malta",2019,21.56,29.1,11.1,78,8.1,5.5,72,19,-0.298701467701392,-7.54,0.738356164383562,0,4,0,"Other"
"Malta",2020,23.45,25.1,10.9,78.5,8.6,-7,75,19,-0.0677181740549511,-1.65,0.930555555555555,0,5,1,"Other"
"Malta",2021,23.01,22.3,10.7,79,9.1,12.5,78,19,0.0312044654252954,0.710000000000001,1.02723214285714,3.08561495002173,6,1,"Other"
"Malta",2022,22.67,19.7,10.5,79.5,9.6,6.9,81,19,0.139761942375159,2.97,1.14494949494949,13.1010145566829,7,1,"Other"
"Netherlands",2015,9,6.8,14.7,93,10.5,2,92,20,0.276753001919591,2.2,1.30434782608696,24.4444444444444,0,0,"Low Divergence"
"Netherlands",2016,8.7,6.4,14.6,93.2,11,2.2,95,20,0.302949544582569,2.3,1.33846153846154,26.4367816091954,1,0,"Low Divergence"
"Netherlands",2017,8.3,6,14.5,93.4,11.5,2.9,98,20,0.319942934670002,2.3,1.36065573770492,27.710843373494,2,0,"Low Divergence"
"Netherlands",2018,7.98,5.6,14.4,93.6,12,2.4,101,20,0.3489256976925,2.38,1.4,29.8245614035088,3,0,"Low Divergence"
"Netherlands",2019,7.65,5.2,14.3,93.8,12.5,1.7,104,20,0.379986022807179,2.45,1.44339622641509,32.0261437908497,4,0,"Low Divergence"
"Netherlands",2020,8.34,4.3,14.2,94,13,-3.8,107,20,0.65137776768365,4.04,1.89545454545455,48.4412470023981,5,1,"Low Divergence"
"Netherlands",2021,8.12,3.7,14.1,94.2,13.5,4.9,110,20,0.771569142335748,4.42,2.13684210526316,54.4334975369458,6,1,"Low Divergence"
"Netherlands",2022,7.89,3.2,14,94.4,14,4.3,113,20,0.884268291305749,4.69,2.39090909090909,59.4423320659062,7,1,"Low Divergence"
"Poland",2015,23.3,24.7,18.9,68,7.8,3.8,54,21,-0.0581076308072808,-1.4,0.939516129032258,0,0,0,"Medium Divergence"
"Poland",2016,22.9,23.6,18.7,68.5,8.3,3.1,57,21,-0.0299808322119359,-0.700000000000003,0.966244725738396,0,1,0,"Medium Divergence"
"Poland",2017,22.4,22.4,18.5,69,8.8,5.4,60,21,0,0,0.995555555555556,0,2,0,"Medium Divergence"
"Poland",2018,21.76,21.2,18.3,69.5,9.3,5.4,63,21,0.0259514100330129,0.560000000000002,1.02159624413146,2.57352941176472,3,0,"Medium Divergence"
"Poland",2019,21.12,19.9,18.1,70,9.8,4.7,66,21,0.0592118596318465,1.22,1.056,5.77651515151516,4,0,"Medium Divergence"
"Poland",2020,22.67,16.2,17.9,70.5,10.3,-2,69,21,0.334278772262932,6.47,1.39079754601227,28.5399205999118,5,1,"Medium Divergence"
"Poland",2021,22.34,13.8,17.7,71,10.8,6.8,72,21,0.47895624051785,8.54,1.60719424460432,38.2273948075201,6,1,"Medium Divergence"
"Poland",2022,21.89,11.6,17.5,71.5,11.3,5.1,75,21,0.63099896276296,10.29,1.87094017094017,47.0077661032435,7,1,"Medium Divergence"
"Portugal",2015,17.2,9.2,16.8,74,8.7,1.8,52,22,0.620692101344523,8,1.8494623655914,46.5116279069767,0,0,"Other"
"Portugal",2016,16.8,8.7,16.6,74.5,9.2,2,55,22,0.652561900444868,8.1,1.90909090909091,48.2142857142857,1,0,"Other"
"Portugal",2017,16.4,8.3,16.4,75,9.7,3.5,58,22,0.675128675057267,8.1,1.95238095238095,49.390243902439,2,0,"Other"
"Portugal",2018,15.98,7.8,16.2,75.5,10.2,2.8,61,22,0.710713504277845,8.18,2.02278481012658,51.188986232791,3,0,"Other"
"Portugal",2019,15.43,7.4,16,76,10.7,2.5,64,22,0.727870616618331,8.03,2.05733333333333,52.0414776409592,4,0,"Other"
"Portugal",2020,16.56,6.2,15.8,76.5,11.2,-8.3,67,22,0.97246100334121,10.36,2.62857142857143,62.56038647343,5,1,"Other"
"Portugal",2021,16.23,5.4,15.6,77,11.7,5.5,70,22,1.08825581474395,10.83,2.95090909090909,66.728280961183,6,1,"Other"
"Portugal",2022,15.87,4.8,15.4,77.5,12.2,6.7,73,22,1.18147675711034,11.07,3.23877551020408,69.7542533081285,7,1,"Other"
"Romania",2015,27.7,37.2,15.2,52,6.9,3.7,36,23,-0.293957305953179,-9.5,0.742627345844504,0,0,0,"High Divergence"
"Romania",2016,27.1,35.8,15,52.5,7.4,4.8,39,23,-0.277520322192281,-8.7,0.754874651810585,0,1,0,"High Divergence"
"Romania",2017,26.5,34.3,14.8,53,7.9,7.3,42,23,-0.257145348591699,-7.8,0.770348837209302,0,2,0,"High Divergence"
"Romania",2018,27.43,32.8,14.6,53.5,8.4,4.5,45,23,-0.17819633861681,-5.37,0.833738601823708,0,3,0,"High Divergence"
"Romania",2019,26.43,31.2,14.4,54,8.9,4.2,48,23,-0.165341929396459,-4.77,0.844408945686901,0,4,0,"High Divergence"
"Romania",2020,29.56,27.1,14.2,54.5,9.4,-3.7,51,23,0.086582363407834,2.46,1.08676470588235,8.32205683355886,5,1,"High Divergence"
"Romania",2021,29.01,24.2,14,55,9.9,5.7,54,23,0.180605407411029,4.81,1.19382716049383,16.580489486384,6,1,"High Divergence"
"Romania",2022,29.67,21.5,13.8,55.5,10.4,4.6,57,23,0.320807860337566,8.17,1.37361111111111,27.536231884058,7,1,"High Divergence"
"Slovakia",2015,14.2,29.4,14.5,66,5.7,5,58,24,-0.724130726079913,-15.2,0.48135593220339,0,0,0,"Other"
"Slovakia",2016,13.9,28.1,14.3,66.5,6.2,2.1,61,24,-0.70026464832881,-14.2,0.49290780141844,0,1,0,"Other"
"Slovakia",2017,13.5,26.7,14.1,67,6.7,2.5,64,24,-0.678332094774805,-13.2,0.503731343283582,0,2,0,"Other"
"Slovakia",2018,13.12,25.3,13.9,67.5,7.2,2.4,67,24,-0.653018339600951,-12.18,0.516535433070866,0,3,0,"Other"
"Slovakia",2019,12.67,23.8,13.7,68,7.7,2.3,70,24,-0.626779788893017,-11.13,0.530125523012552,0,4,0,"Other"
